ax,ay,az,gx,gy,gz,mx,my,mz,lax,lay,laz,q1,q2,q3,q4
-0.02346801,-0.05569457,-0.003906248,-0.003865242,-0.01500511,-0.004379272,-0.1562775,0.9565539,-0.05451294,-0.008008003,0.004074097,0.005841255,0.7496516,-0.2650598,0.593096,0.1265018
-0.02410888,-0.05526732,-0.004089354,-0.004536629,-0.01546288,-0.003921509,-0.1562775,0.9565539,-0.05451294,-0.008625984,0.004497528,0.005642891,0.7494353,-0.2659715,0.592787,0.1273152
-0.02328491,-0.05432128,-0.004913328,-0.004811287,-0.01659203,-0.003860474,-0.1562775,0.9565539,-0.05451294,-0.007779121,0.005439758,0.004807472,0.7492254,-0.2669257,0.5924336,0.1281961
-0.02420043,-0.05474852,-0.00552368,-0.005482674,-0.01704979,-0.003463745,-0.1562775,0.9565539,-0.05451294,-0.008665085,0.005005836,0.004193306,0.7490513,-0.2679279,0.5920102,0.1290756
-0.02392578,-0.0545349,-0.005828856,-0.006093025,-0.01775169,-0.003463745,-0.1562775,0.9565539,-0.05451294,-0.008360863,0.005210876,0.003889084,0.7488948,-0.2689552,0.5915389,0.1300048
-0.02328491,-0.05407714,-0.00564575,-0.006123543,-0.01830101,-0.003250122,-0.1712775,0.9655539,-0.02151276,-0.007689476,0.005661011,0.004071236,0.7487252,-0.2700123,0.5910617,0.1309571
-0.02328491,-0.05410765,-0.006561277,-0.006123543,-0.01869774,-0.003219604,-0.1712775,0.9655539,-0.02151276,-0.007658005,0.00562191,0.003157616,0.7485635,-0.2710833,0.59056,0.1319291
-0.02294922,-0.05270385,-0.00564575,-0.00603199,-0.01933861,-0.002914429,-0.1712775,0.9655539,-0.02151276,-0.007287025,0.007017136,0.004069328,0.7483724,-0.2722114,0.5900635,0.132908
-0.02377319,-0.05270385,-0.006958006,-0.006855965,-0.01976585,-0.002700806,-0.1442776,0.9445539,-0.01851288,-0.008070946,0.007005692,0.002764702,0.7482368,-0.2733682,0.5894759,0.1339005
-0.02319336,-0.05169677,-0.00564575,-0.007435799,-0.02028465,-0.002578735,-0.1442776,0.9445539,-0.01851288,-0.007450104,0.008000374,0.004084587,0.7480926,-0.2745573,0.5888727,0.1349238
